Using ParallelNet
  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.81e+00
TIME BACKWARD: 5.31e+00

   *** Proc = 0        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
  ForWD::bufsize    ||        26        |    2.7466e-04    |    1.0564e-05    |    6.6996e-06    |
  ForWD::bufunpack  ||        13        |    1.2152e-02    |    9.3473e-04    |    4.7277e-04    |
  ForWD::clone      ||       457        |    2.8378e-01    |    6.2097e-04    |    3.6314e-04    |
  ForWD::free       ||       422        |    1.8483e-02    |    4.3800e-05    |    2.0587e-04    |
  ForWD::getUVector ||       296        |    2.6661e-03    |    9.0072e-06    |    2.5390e-06    |
  ForWD::init       ||        16        |    1.8213e-02    |    1.1383e-03    |    2.3257e-05    |
  ForWD::norm       ||        32        |    1.8722e-02    |    5.8507e-04    |    1.7759e-05    |
  ForWD::runBraid   ||        1         |    2.7959e+00    |    2.7959e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.6132e+00    |    5.7614e-03    |    1.3592e-03    |
  ForWD::sum        ||       296        |    1.5632e-01    |    5.2812e-04    |    1.5096e-04    |

   *** Proc = 7        ***
        timer       ||      count       |      total       |       mean       |      stdev       |
======================================================
  BckWD::access     ||        64        |    2.8102e-04    |    4.3909e-06    |    1.9334e-06    |
  BckWD::bufpack    ||        11        |    5.7206e-03    |    5.2005e-04    |    1.6506e-04    |
  BckWD::bufsize    ||        11        |    1.6647e-04    |    1.5133e-05    |    5.6935e-06    |
  BckWD::clone      ||       224        |    1.0424e-01    |    4.6534e-04    |    1.6321e-04    |
  BckWD::free       ||       224        |    1.2259e-03    |    5.4727e-06    |    2.8825e-06    |
  BckWD::init       ||        16        |    1.2914e-02    |    8.0714e-04    |    2.7987e-04    |
  BckWD::norm       ||        30        |    1.8964e-02    |    6.3212e-04    |    2.3257e-05    |
  BckWD::step       ||       285        |    3.3284e+00    |    1.1679e-02    |    1.2061e-03    |
  BckWD::sum        ||       270        |    1.3955e-01    |    5.1684e-04    |    1.1892e-04    |
  ForWD::access     ||        64        |    5.4917e-04    |    8.5808e-06    |    5.4050e-05    |
  ForWD::bufsize    ||        13        |    2.1160e-04    |    1.6277e-05    |    2.5765e-06    |
  ForWD::bufunpack  ||        13        |    1.1669e-02    |    8.9761e-04    |    3.9182e-04    |
  ForWD::clone      ||       457        |    2.9042e-01    |    6.3550e-04    |    3.7613e-04    |
  ForWD::free       ||       422        |    1.8655e-02    |    4.4207e-05    |    1.7702e-04    |
  ForWD::getUVector ||       285        |    3.0355e-03    |    1.0651e-05    |    3.1317e-06    |
  ForWD::init       ||        16        |    1.7966e-02    |    1.1229e-03    |    2.9181e-05    |
  ForWD::norm       ||        32        |    1.8710e-02    |    5.8469e-04    |    1.2782e-05    |
  ForWD::runBraid   ||        1         |    2.7959e+00    |    2.7959e+00    |    0.0000e+00    |
  ForWD::step       ||       280        |    1.6497e+00    |    5.8916e-03    |    1.4396e-03    |
  ForWD::sum        ||       296        |    1.5288e-01    |    5.1649e-04    |    1.3654e-04    |

  Braid: Max. iterations reached.

  Braid: Max. iterations reached.

TIME FORWARD:  2.51e+00
TIME BACKWARD: 5.02e+00
